{'loss': 0.6969, 'learning_rate': 9.51151877133106e-06, 'epoch': 80.98}
{'loss': 0.6925, 'learning_rate': 9.011660978384528e-06, 'epoch': 81.98}
{'loss': 0.6866, 'learning_rate': 8.511803185437998e-06, 'epoch': 82.98}
{'loss': 0.6817, 'learning_rate': 8.011945392491468e-06, 'epoch': 83.98}
{'loss': 0.68, 'learning_rate': 7.512087599544939e-06, 'epoch': 84.98}
{'loss': 0.6732, 'learning_rate': 7.012229806598408e-06, 'epoch': 85.98}
{'loss': 0.6713, 'learning_rate': 6.512372013651877e-06, 'epoch': 86.98}
{'loss': 0.6652, 'learning_rate': 6.012514220705347e-06, 'epoch': 87.97}
{'loss': 0.6592, 'learning_rate': 5.512656427758817e-06, 'epoch': 88.97}
{'loss': 0.6605, 'learning_rate': 5.012798634812287e-06, 'epoch': 89.97}
{'loss': 0.6574, 'learning_rate': 4.5129408418657564e-06, 'epoch': 90.97}
{'loss': 0.6488, 'learning_rate': 4.0130830489192265e-06, 'epoch': 91.97}
{'loss': 0.6469, 'learning_rate': 3.5132252559726965e-06, 'epoch': 92.97}
{'loss': 0.6437, 'learning_rate': 3.013367463026166e-06, 'epoch': 93.97}
{'loss': 0.6404, 'learning_rate': 2.5135096700796362e-06, 'epoch': 94.97}
{'loss': 0.6384, 'learning_rate': 2.013651877133106e-06, 'epoch': 95.97}
{'loss': 0.6395, 'learning_rate': 1.5137940841865757e-06, 'epoch': 96.97}
{'loss': 0.6334, 'learning_rate': 1.0139362912400455e-06, 'epoch': 97.97}
{'loss': 0.6309, 'learning_rate': 5.140784982935154e-07, 'epoch': 98.97}
{'loss': 0.6307, 'learning_rate': 1.4220705346985211e-08, 'epoch': 99.97}
{'train_runtime': 87709.4718, 'train_samples_per_second': 4.009, 'total_flos': 8.527956535796864e+17, 'epoch': 100.0}

##############nezha_base(lr:6e-5, epoch:150)
{'loss': 3.7037, 'learning_rate': 5.960011376564278e-05, 'epoch': 1.0}
{'loss': 2.5545, 'learning_rate': 5.9200227531285556e-05, 'epoch': 2.0}
{'loss': 2.2411, 'learning_rate': 5.880034129692833e-05, 'epoch': 3.0}
{'loss': 2.072, 'learning_rate': 5.8400455062571104e-05, 'epoch': 4.0}
{'loss': 1.9493, 'learning_rate': 5.800056882821388e-05, 'epoch': 5.0}
{'loss': 1.846, 'learning_rate': 5.760068259385666e-05, 'epoch': 6.0}
{'loss': 1.7756, 'learning_rate': 5.7200796359499437e-05, 'epoch': 7.0}
{'loss': 1.7075, 'learning_rate': 5.6800910125142214e-05, 'epoch': 8.0}
{'loss': 1.6507, 'learning_rate': 5.6401023890784985e-05, 'epoch': 9.0}
{'loss': 1.6061, 'learning_rate': 5.600113765642776e-05, 'epoch': 10.0}
{'loss': 1.5607, 'learning_rate': 5.560125142207054e-05, 'epoch': 11.0}
{'loss': 1.5188, 'learning_rate': 5.520136518771331e-05, 'epoch': 12.0}
{'loss': 1.4861, 'learning_rate': 5.480147895335609e-05, 'epoch': 13.0}
{'loss': 1.4515, 'learning_rate': 5.440159271899886e-05, 'epoch': 14.0}
{'loss': 1.423, 'learning_rate': 5.4001706484641635e-05, 'epoch': 15.0}
{'loss': 1.3945, 'learning_rate': 5.360182025028441e-05, 'epoch': 16.0}
{'loss': 1.3671, 'learning_rate': 5.320193401592719e-05, 'epoch': 17.0}
{'loss': 1.3454, 'learning_rate': 5.280204778156997e-05, 'epoch': 17.99}
